frequencies [Hz],Resistance [Ohm]_E0C0_E0C1,Reactance [Ohm]_E0C0_E0C1
21060.0,2311.656413471922,251.38828650892324
21190.0,2311.656413471922,251.38828650892324
21320.0,2311.656413471922,251.38828650892324
21450.0,2311.656413471922,251.38828650892324
21580.0,2311.656413471922,251.38828650892324
21710.0,2311.656413471922,251.38828650892324
21840.0,2311.656413471922,251.38828650892324
21970.0,2311.656413471922,251.38828650892324
22100.0,2311.656413471922,251.38828650892324
22230.0,2311.656413471922,251.38828650892324
22360.0,2311.656413471922,251.38828650892324
22490.0,2311.656413471922,251.38828650892324
22620.0,2311.656413471922,251.38828650892324
22750.0,2311.656413471922,251.38828650892324
22880.0,2311.656413471922,251.38828650892324
23010.0,2311.656413471922,251.38828650892324
23140.0,2311.656413471922,251.38828650892324
23270.0,2311.656413471922,251.38828650892324
23400.0,2311.656413471922,251.38828650892324
23530.0,2311.656413471922,251.38828650892324
23660.0,2208.420039215081,251.05070417348242
23790.0,2208.420039215081,251.05070417348242
23920.0,2208.420039215081,251.05070417348242
24050.0,2208.420039215081,251.05070417348242
24180.0,2208.420039215081,251.05070417348242
24310.0,2208.420039215081,251.05070417348242
24440.0,2208.420039215081,251.05070417348242
24570.0,2208.420039215081,251.05070417348242
24700.0,2208.420039215081,251.05070417348242
24830.0,2208.420039215081,251.05070417348242
24960.0,2208.420039215081,251.05070417348242
25090.0,2208.420039215081,251.05070417348242
25220.0,2208.420039215081,251.05070417348242
25350.0,2208.420039215081,251.05070417348242
25480.0,2208.420039215081,251.05070417348242
25610.0,2208.420039215081,251.05070417348242
25740.0,2208.420039215081,251.05070417348242
25870.0,2208.420039215081,251.05070417348242
26000.0,2208.420039215081,251.05070417348242
26130.0,2208.420039215081,251.05070417348242
26260.0,2208.420039215081,251.05070417348242
26390.0,2208.420039215081,251.05070417348242
26520.0,2208.420039215081,251.05070417348242
26650.0,2208.420039215081,251.05070417348242
26780.0,2208.420039215081,251.05070417348242
26910.0,2208.420039215081,251.05070417348242
27040.0,2208.420039215081,251.05070417348242
27170.0,2208.420039215081,251.05070417348242
27300.0,2208.420039215081,251.05070417348242
27430.0,2208.420039215081,251.05070417348242
27560.0,2208.420039215081,251.05070417348242
27690.0,2208.420039215081,251.05070417348242
27820.0,2208.420039215081,251.05070417348242
27950.0,2208.420039215081,251.05070417348242
28080.0,2208.420039215081,251.05070417348242
28210.0,2208.420039215081,251.05070417348242
28340.0,2208.420039215081,251.05070417348242
28470.0,2208.420039215081,251.05070417348242
28600.0,2208.420039215081,251.05070417348242
28730.0,2208.420039215081,251.05070417348242
28860.0,2208.420039215081,251.05070417348242
28990.0,2208.420039215081,251.05070417348242
29120.0,2208.420039215081,251.05070417348242
29250.0,2208.420039215081,251.05070417348242
29380.0,2208.420039215081,251.05070417348242
29510.0,2208.420039215081,251.05070417348242
29640.0,2208.420039215081,251.05070417348242
29770.0,2208.420039215081,251.05070417348242
29900.0,2208.420039215081,251.05070417348242
30030.0,2208.420039215081,251.05070417348242
30160.0,2208.420039215081,251.05070417348242
30290.0,2208.420039215081,251.05070417348242
30420.0,2208.420039215081,251.05070417348242
30550.0,2208.420039215081,251.05070417348242
30680.0,2208.420039215081,251.05070417348242
30810.0,2208.420039215081,251.05070417348242
30940.0,2208.420039215081,251.05070417348242
31070.0,2208.420039215081,251.05070417348242
31200.0,2208.420039215081,251.05070417348242
31330.0,2208.420039215081,251.05070417348242
31460.0,2208.420039215081,251.05070417348242
31590.0,2208.420039215081,251.05070417348242
31720.0,2208.420039215081,251.05070417348242
31850.0,2208.420039215081,251.05070417348242
31980.0,2208.420039215081,251.05070417348242
32110.0,2208.420039215081,251.05070417348242
32240.0,2208.420039215081,251.05070417348242
32370.0,2208.420039215081,251.05070417348242
32500.0,2208.420039215081,251.05070417348242
32630.0,2208.420039215081,251.05070417348242
32760.0,2208.420039215081,251.05070417348242
32890.0,2208.420039215081,251.05070417348242
33020.0,2208.420039215081,251.05070417348242
33150.0,2208.420039215081,251.05070417348242
