M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
98.8,100.0,99.6,45.0,32.0,43.0,8.8,4.8,36.0,0.0
7.2,2.4,56.8,69.0,72.0,73.0,74.4,15.6,57.6,0.0
85.2,100.0,100.0,63.0,60.0,64.0,92.0,42.0,56.4,0.0
81.6,86.4,99.2,78.0,74.0,82.0,75.2,18.8,70.0,0.0
92.8,98.4,100.0,73.0,63.0,76.0,28.0,10.4,60.4,0.0
12.4,37.2,72.0,74.0,71.0,73.0,88.0,23.6,63.6,0.0
83.6,99.2,100.0,72.0,66.0,76.0,88.8,27.6,64.4,0.0
52.8,93.6,99.2,68.0,65.0,73.0,53.6,21.6,62.0,0.0
26.4,49.6,95.2,73.0,68.0,80.0,39.2,7.6,65.2,0.0
13.6,34.0,65.6,70.0,60.0,75.0,65.6,12.4,56.0,0.0
44.0,99.6,99.2,73.0,63.0,75.0,88.8,49.2,60.4,0.0
41.6,86.4,96.8,75.0,71.0,81.0,58.4,13.6,65.2,0.0
26.4,93.6,93.2,71.0,70.0,79.0,56.8,13.2,61.6,0.0
87.2,91.6,99.6,66.0,60.0,74.0,65.6,7.6,57.6,0.0
49.2,56.8,90.4,54.0,61.0,63.0,10.4,0.4,48.0,0.0
100.0,100.0,100.0,68.0,63.0,74.0,53.6,9.2,56.0,0.0
65.6,99.6,99.6,53.0,49.0,49.0,60.0,26.4,47.2,0.0
48.8,70.0,97.6,74.0,70.0,80.0,56.0,8.4,62.4,0.0
69.6,99.2,96.8,68.0,51.0,67.0,84.8,11.6,50.0,0.0
52.0,96.4,96.8,52.0,33.0,59.0,3.2,7.2,38.8,0.0
90.0,94.4,99.6,72.0,65.0,76.0,84.0,24.8,64.4,0.0
98.8,100.0,100.0,47.0,56.0,55.0,69.6,0.8,41.2,0.0
81.6,100.0,100.0,55.0,62.0,57.0,72.0,34.0,50.8,0.0
0.0,10.8,45.2,47.0,43.0,53.0,0.0,6.4,39.2,0.0
91.6,99.6,100.0,76.0,69.0,74.0,93.6,46.0,63.6,0.0
60.4,43.6,96.8,76.0,70.0,78.0,24.8,22.0,58.8,0.0
0.0,27.2,42.4,59.0,48.0,57.0,55.2,10.0,50.8,0.0
34.4,83.6,91.6,66.0,51.0,65.0,44.0,8.4,53.6,0.0
98.4,100.0,100.0,66.0,66.0,73.0,16.8,14.4,52.0,0.0
92.0,98.8,100.0,78.0,74.0,79.0,95.2,25.6,71.6,0.0
66.8,98.8,99.2,70.0,69.0,76.0,69.6,5.2,61.6,0.0
46.0,54.4,96.4,76.0,72.0,81.0,24.0,19.2,65.2,0.0
46.8,80.4,98.0,74.0,69.0,78.0,73.6,7.6,68.8,0.0
99.2,97.6,100.0,80.0,74.0,82.0,100.0,46.8,72.4,0.0
84.0,91.2,98.4,80.0,73.0,82.0,97.6,42.0,70.8,0.0
72.4,90.8,99.2,75.0,73.0,80.0,89.6,10.8,70.8,0.0
58.8,87.6,95.6,3.0,1.0,2.0,0.0,0.0,1.6,0.0
1.2,35.6,58.8,63.0,47.0,67.0,62.4,6.4,45.6,0.0
31.2,67.6,92.0,70.0,62.0,69.0,83.2,11.6,51.2,0.0
87.6,97.2,100.0,69.0,56.0,71.0,64.0,20.4,58.4,0.0
40.0,99.2,98.4,75.0,68.0,77.0,65.6,30.8,66.0,0.0
14.0,77.6,91.2,69.0,68.0,69.0,93.6,16.4,59.6,0.0
98.8,100.0,99.6,46.0,48.0,48.0,20.8,0.0,21.6,0.0
0.0,2.0,0.0,39.0,39.0,49.0,40.8,3.6,36.0,0.0
0.0,24.4,56.0,59.0,67.0,66.0,8.8,0.4,46.8,0.0
42.0,92.0,98.8,74.0,53.0,70.0,8.0,22.0,59.6,0.0
92.4,91.6,96.8,33.0,23.0,33.0,3.2,0.4,30.4,0.0
30.8,31.6,92.4,72.0,70.0,73.0,7.2,12.0,55.6,0.0
82.8,74.8,99.2,78.0,72.0,82.0,89.6,16.8,68.4,0.0
28.8,91.2,98.4,73.0,67.0,75.0,76.8,9.6,62.4,0.0
72.8,98.4,99.2,73.0,67.0,77.0,40.0,6.4,65.6,0.0
0.0,21.6,10.4,37.0,27.0,38.0,7.2,0.4,24.4,0.0
18.4,15.6,81.6,70.0,64.0,79.0,48.0,16.0,60.4,0.0
91.6,99.6,100.0,74.0,66.0,80.0,80.0,9.6,66.4,0.0
80.8,92.0,99.2,79.0,73.0,81.0,80.8,31.6,60.8,0.0
46.8,33.6,96.8,75.0,68.0,80.0,49.6,9.2,66.4,0.0
