M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
3.6,31.6,67.2,51.0,37.0,50.0,28.8,13.6,38.8,0.0
34.4,98.8,95.2,69.0,67.0,71.0,36.0,31.6,56.8,0.0
43.2,84.8,96.8,68.0,72.0,73.0,86.4,11.2,57.6,0.0
7.2,52.4,78.4,47.0,29.0,41.0,20.0,4.8,30.0,0.0
0.8,44.8,52.8,16.0,13.0,17.0,0.0,0.8,14.4,0.0
78.0,91.2,98.8,73.0,71.0,77.0,95.2,46.8,62.0,0.0
48.0,92.8,96.4,57.0,52.0,62.0,62.4,8.8,50.8,0.0
51.2,60.4,94.4,71.0,68.0,72.0,60.0,4.0,59.2,0.0
45.6,65.2,96.0,78.0,72.0,82.0,59.2,22.0,68.0,0.0
98.0,99.2,100.0,68.0,66.0,72.0,76.0,22.8,58.4,0.0
0.0,0.4,13.2,16.0,15.0,12.0,0.0,1.6,13.2,0.0
48.4,98.0,96.4,42.0,53.0,50.0,70.4,17.6,36.8,0.0
0.0,0.4,5.2,34.0,29.0,32.0,0.0,5.6,28.8,0.0
0.0,25.6,42.8,49.0,64.0,65.0,1.6,0.0,36.4,0.0
62.0,94.8,100.0,63.0,65.0,72.0,24.8,15.6,59.6,0.0
55.2,91.6,94.8,51.0,40.0,46.0,79.2,7.2,42.8,0.0
36.4,60.4,98.0,33.0,27.0,28.0,0.0,2.8,22.0,0.0
28.4,14.0,86.0,71.0,67.0,78.0,24.8,9.2,59.6,0.0
46.4,82.8,95.6,65.0,59.0,73.0,6.4,2.0,52.8,0.0
21.6,77.2,86.0,51.0,48.0,58.0,0.0,0.8,43.6,0.0
78.8,99.2,99.6,75.0,70.0,80.0,69.6,9.2,68.0,0.0
0.0,4.8,4.4,26.0,36.0,31.0,0.0,0.8,21.2,0.0
23.2,84.8,90.8,72.0,73.0,77.0,17.6,12.8,61.2,0.0
90.0,86.0,99.6,40.0,39.0,45.0,0.0,2.4,31.6,0.0
80.0,96.8,100.0,67.0,54.0,71.0,60.8,16.0,55.6,0.0
13.2,14.8,75.2,55.0,50.0,54.0,54.4,0.4,40.0,0.0
