M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
39.2,58.4,96.8,74.0,69.0,80.0,44.8,8.8,64.8,0.0
30.4,93.6,95.2,71.0,66.0,77.0,63.2,8.4,68.0,0.0
62.8,93.2,99.2,74.0,72.0,80.0,77.6,6.8,66.0,0.0
99.2,100.0,100.0,42.0,53.0,49.0,56.8,0.4,23.6,0.0
0.0,23.2,17.6,3.0,0.0,4.0,0.0,0.8,3.2,0.0
100.0,100.0,100.0,68.0,68.0,76.0,96.0,8.0,56.4,5.6
75.2,99.2,100.0,70.0,64.0,70.0,80.0,36.0,56.0,0.0
0.4,14.0,51.6,58.0,52.0,63.0,12.0,0.4,43.2,0.0
62.0,90.8,99.6,68.0,63.0,74.0,12.0,17.2,60.8,0.0
0.8,66.4,80.4,59.0,43.0,64.0,1.6,1.2,42.4,0.0
1.2,30.4,63.6,69.0,67.0,74.0,4.8,8.0,60.4,0.0
27.2,62.4,90.8,55.0,46.0,51.0,52.8,21.2,41.2,0.0
4.0,53.2,58.4,34.0,30.0,35.0,37.6,2.8,28.0,0.0
62.0,94.8,96.8,80.0,74.0,82.0,92.8,53.6,68.0,0.0
32.0,94.4,93.6,67.0,70.0,71.0,48.0,8.4,54.8,0.0
20.4,24.0,90.4,72.0,69.0,78.0,18.4,6.0,58.8,0.0
99.2,100.0,100.0,67.0,57.0,75.0,35.2,4.8,56.0,0.0
46.4,85.6,98.8,72.0,68.0,70.0,68.8,16.0,59.6,0.0
78.8,96.4,99.6,73.0,70.0,80.0,69.6,8.4,67.6,0.0
98.8,100.0,99.6,65.0,56.0,68.0,8.0,2.4,50.4,0.0
0.0,66.4,24.0,50.0,66.0,62.0,29.6,3.2,49.2,0.0
52.8,46.0,96.0,65.0,64.0,75.0,52.0,14.4,58.8,0.0
99.2,97.2,100.0,79.0,70.0,82.0,96.0,18.8,68.4,0.0
99.6,98.4,100.0,76.0,74.0,82.0,97.6,18.0,69.2,0.0
80.8,91.2,100.0,76.0,71.0,80.0,84.8,11.2,69.6,0.0
94.4,100.0,100.0,74.0,69.0,80.0,80.0,9.2,69.2,0.0
52.4,98.4,99.6,67.0,62.0,72.0,62.4,8.4,58.0,0.0
0.0,0.8,5.2,64.0,48.0,65.0,22.4,3.2,43.6,0.0
53.2,68.8,97.6,74.0,73.0,79.0,42.4,11.6,68.0,0.0
82.8,99.6,100.0,73.0,72.0,78.0,83.2,6.4,65.2,0.0
29.2,57.2,57.6,77.0,60.0,77.0,11.2,23.6,58.4,0.0
99.6,99.6,100.0,80.0,74.0,82.0,100.0,31.6,72.4,0.0
45.6,36.4,91.6,80.0,73.0,82.0,96.0,33.2,66.4,0.0
82.4,89.2,99.6,75.0,74.0,81.0,85.6,15.2,66.0,0.0
96.4,97.6,100.0,80.0,74.0,82.0,100.0,55.6,71.6,0.0
0.0,18.0,49.6,67.0,59.0,77.0,44.8,9.2,61.2,0.0
4.4,33.2,70.4,51.0,38.0,51.0,36.0,15.6,38.8,0.0
37.6,98.8,95.6,69.0,67.0,70.0,37.6,31.6,56.8,0.0
45.2,85.2,96.8,69.0,72.0,73.0,86.4,12.0,57.6,0.0
8.8,54.8,80.4,48.0,30.0,42.0,20.0,4.8,30.4,0.0
0.8,46.4,55.6,17.0,13.0,17.0,0.0,0.8,14.8,0.0
79.6,91.6,98.8,74.0,72.0,77.0,95.2,48.4,62.0,0.0
49.2,93.2,96.4,58.0,53.0,62.0,64.0,10.0,51.6,0.0
52.8,63.6,94.8,71.0,68.0,72.0,61.6,4.8,60.0,0.0
45.6,66.4,95.6,78.0,72.0,82.0,62.4,22.0,68.4,0.0
98.4,99.2,100.0,68.0,66.0,72.0,76.0,23.2,58.4,0.0
0.0,0.4,14.0,17.0,17.0,12.0,0.0,1.6,12.8,0.0
48.8,98.0,96.4,42.0,53.0,50.0,70.4,18.0,36.4,0.0
0.0,0.4,6.4,34.0,29.0,33.0,0.8,6.0,28.8,0.0
0.0,28.4,45.2,50.0,65.0,64.0,1.6,0.0,36.8,0.0
63.2,94.8,100.0,63.0,65.0,72.0,24.0,16.4,59.2,0.0
56.4,93.2,95.2,52.0,39.0,46.0,81.6,8.0,43.6,0.0
38.0,63.6,98.4,33.0,27.0,29.0,0.0,2.8,21.2,0.0
28.8,14.4,86.4,71.0,67.0,78.0,26.4,9.6,59.6,0.0
46.4,83.2,96.0,65.0,59.0,72.0,7.2,2.0,53.2,0.0
20.4,77.2,86.4,51.0,50.0,58.0,0.0,0.8,43.2,0.0
79.2,99.2,99.6,75.0,70.0,80.0,70.4,9.2,67.6,0.0
0.0,4.8,4.4,26.0,36.0,33.0,0.0,0.8,21.2,0.0
25.2,86.0,92.8,72.0,73.0,77.0,17.6,12.8,61.2,0.0
93.6,86.8,99.6,40.0,39.0,47.0,0.0,2.4,31.6,0.0
81.6,97.6,100.0,67.0,54.0,71.0,62.4,16.4,56.0,0.0
15.2,15.6,76.4,56.0,50.0,55.0,57.6,0.4,40.0,0.0
42.0,10.8,94.4,75.0,65.0,79.0,56.8,8.0,62.4,0.0
0.0,6.4,0.0,14.0,11.0,14.0,0.0,0.4,11.6,0.0
98.8,100.0,100.0,61.0,68.0,65.0,76.8,2.0,41.6,1.6
73.6,73.6,99.2,75.0,69.0,80.0,49.6,10.8,66.4,0.0
0.0,16.8,8.0,43.0,58.0,53.0,0.0,0.4,38.4,0.0
87.2,97.2,97.6,33.0,25.0,36.0,2.4,0.4,19.2,0.0
96.0,99.6,100.0,74.0,65.0,77.0,92.0,43.6,65.2,0.0
98.8,100.0,100.0,72.0,56.0,72.0,40.0,7.6,59.2,0.0
98.8,100.0,100.0,48.0,32.0,45.0,11.2,4.8,37.2,0.0
7.6,2.4,58.4,70.0,72.0,73.0,76.8,16.0,58.0,0.0
91.2,100.0,100.0,62.0,60.0,64.0,92.0,44.4,56.4,0.0
80.4,87.2,99.6,79.0,74.0,82.0,73.6,18.0,70.8,0.0
95.2,98.4,100.0,73.0,63.0,75.0,32.0,11.2,60.4,0.0
12.4,38.4,74.0,73.0,71.0,73.0,89.6,24.0,63.6,0.0
86.0,99.2,100.0,72.0,67.0,77.0,89.6,28.4,65.2,0.0
57.2,92.4,99.2,68.0,65.0,73.0,55.2,22.4,62.0,0.0
28.0,49.6,95.2,74.0,68.0,80.0,43.2,8.0,65.6,0.0
18.4,34.8,66.4,70.0,60.0,75.0,71.2,13.6,56.0,0.0
46.8,99.6,99.2,72.0,65.0,76.0,89.6,50.8,60.4,0.0
43.2,86.0,96.8,75.0,71.0,82.0,64.8,13.6,66.0,0.0
26.8,92.4,94.4,72.0,70.0,79.0,60.0,13.6,62.4,0.0
91.6,93.2,99.6,65.0,61.0,74.0,68.8,8.4,57.2,0.0
