M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
0.4,61.2,74.0,58.0,41.0,63.0,0.0,1.6,42.4,0.0
0.8,26.8,61.2,69.0,66.0,74.0,4.8,7.2,60.4,0.0
25.2,60.8,89.6,54.0,46.0,49.0,49.6,20.4,40.8,0.0
3.2,50.8,56.0,32.0,26.0,35.0,32.8,2.8,26.4,0.0
58.0,94.8,96.4,80.0,74.0,82.0,92.8,52.4,67.2,0.0
30.4,94.4,91.6,65.0,70.0,70.0,40.8,8.8,54.8,0.0
18.4,21.6,88.8,72.0,69.0,78.0,16.8,6.0,58.8,0.0
99.6,99.6,100.0,67.0,56.0,74.0,31.2,4.8,54.8,0.0
41.6,82.4,98.4,72.0,67.0,70.0,68.0,15.2,60.4,0.0
75.6,95.6,99.2,73.0,70.0,79.0,68.0,6.8,67.6,0.0
98.8,100.0,99.6,63.0,54.0,68.0,8.0,2.0,50.0,0.0
0.0,62.8,24.8,47.0,66.0,61.0,28.0,3.2,48.0,0.0
47.2,45.2,95.6,66.0,62.0,75.0,47.2,14.4,58.8,0.0
97.6,96.4,100.0,79.0,70.0,82.0,94.4,18.4,68.4,0.0
98.8,98.4,100.0,76.0,74.0,82.0,97.6,16.8,69.2,0.0
77.6,88.8,99.6,76.0,71.0,80.0,84.8,11.2,69.6,0.0
95.6,100.0,100.0,74.0,69.0,79.0,79.2,8.8,69.2,0.0
50.0,97.2,99.2,67.0,61.0,72.0,59.2,7.6,58.4,0.0
0.0,0.0,3.6,62.0,47.0,64.0,18.4,2.8,43.2,0.0
49.2,66.0,97.6,74.0,73.0,79.0,42.4,11.2,67.2,0.0
83.2,99.6,100.0,73.0,71.0,78.0,82.4,6.8,64.4,0.0
21.6,50.4,50.4,77.0,59.0,77.0,9.6,20.8,58.0,0.0
99.6,99.6,100.0,80.0,74.0,82.0,100.0,31.6,72.8,0.0
42.0,34.8,91.2,80.0,73.0,82.0,96.0,32.4,66.4,0.0
79.2,88.0,99.6,75.0,74.0,81.0,86.4,14.8,66.0,0.0
95.2,97.6,100.0,80.0,74.0,82.0,100.0,54.4,72.0,0.0
