M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
85.2,90.8,100.0,75.0,74.0,82.0,87.2,15.6,68.0,0.0
97.2,99.2,100.0,80.0,74.0,82.0,100.0,58.0,72.4,0.0
0.4,20.8,53.2,68.0,60.0,77.0,46.4,9.6,62.0,0.0
4.4,35.2,71.6,51.0,39.0,52.0,36.0,15.6,40.0,0.0
40.8,99.6,95.6,70.0,69.0,71.0,44.8,34.4,58.0,0.0
50.0,87.6,97.6,70.0,72.0,73.0,88.0,12.0,58.8,0.0
10.4,60.0,82.4,47.0,30.0,41.0,23.2,5.6,30.4,0.0
2.0,50.0,60.4,17.0,13.0,18.0,0.0,1.6,15.2,0.0
80.8,93.2,99.2,73.0,72.0,77.0,95.2,50.8,63.2,0.0
50.4,95.2,97.6,60.0,53.0,64.0,68.8,10.0,52.4,0.0
58.8,68.8,96.0,72.0,68.0,72.0,63.2,5.2,60.4,0.0
51.2,68.8,96.8,78.0,73.0,82.0,67.2,22.8,69.6,0.0
99.2,99.2,100.0,69.0,66.0,72.0,79.2,24.0,59.2,0.0
0.0,2.0,25.6,17.0,18.0,13.0,0.0,1.6,14.0,0.0
52.8,98.8,97.2,44.0,56.0,52.0,72.0,18.8,38.4,0.0
0.0,0.4,8.0,35.0,30.0,35.0,1.6,6.4,29.6,0.0
0.0,31.2,48.4,51.0,65.0,67.0,1.6,0.0,38.8,0.0
67.2,98.0,100.0,64.0,65.0,74.0,29.6,17.2,60.0,0.0
62.4,95.2,95.2,52.0,40.0,46.0,81.6,9.2,44.4,0.0
45.6,74.4,98.8,33.0,28.0,30.0,0.0,2.8,22.4,0.0
32.4,15.6,89.6,71.0,67.0,78.0,30.4,10.8,61.6,0.0
48.4,86.4,97.2,66.0,60.0,73.0,8.8,2.0,54.8,0.0
28.0,81.6,92.0,51.0,50.0,59.0,0.0,0.8,44.0,0.0
82.8,99.6,100.0,75.0,70.0,80.0,77.6,10.4,68.8,0.0
0.0,7.2,6.4,26.0,37.0,34.0,0.0,0.8,21.6,0.0
30.0,87.2,94.8,72.0,73.0,77.0,19.2,13.2,62.4,0.0
95.2,90.4,99.6,40.0,40.0,48.0,0.0,2.4,33.6,0.0
88.4,97.6,100.0,67.0,55.0,71.0,68.8,18.8,57.6,0.0
19.2,21.2,79.2,56.0,50.0,55.0,60.0,0.4,40.8,0.0
44.8,13.6,95.6,75.0,65.0,79.0,62.4,9.2,63.6,0.0
0.0,7.2,0.0,14.0,11.0,14.0,0.0,0.4,12.8,0.0
99.2,100.0,100.0,61.0,68.0,69.0,85.6,2.0,43.6,3.2
80.0,77.2,99.2,75.0,71.0,80.0,55.2,11.6,66.8,0.0
0.0,17.2,12.8,45.0,59.0,53.0,0.0,0.4,38.8,0.0
90.4,97.6,98.0,35.0,25.0,37.0,4.8,0.4,20.8,0.0
96.8,100.0,100.0,75.0,66.0,77.0,92.0,44.4,65.6,0.0
99.2,100.0,100.0,72.0,58.0,76.0,45.6,7.6,60.0,0.0
